Ai_Data:154,1,0,1,-1,N,V
Days,y
000,0
001,1
002,1
003,1
004,2
005,3
006,3
007,3
008,3
009,3
010,3
011,3
012,3
013,3
014,3
015,3
016,3
017,3
018,3
019,3
020,3
021,3
022,3
023,3
024,3
025,3
026,3
027,3
028,3
029,3
030,3
031,3
032,3
033,5
034,5
035,28
036,30
037,31
038,34
039,39
040,43
041,56
042,62
043,73
044,82
045,102
046,113
047,119
048,142
049,156
050,194
051,244
052,330
053,396
054,499
055,536
056,657
057,727
058,887
059,987
060,1024
061,1251
062,1397
063,1998
064,2543
065,2567
066,3082
067,3588
068,4778
069,5311
070,5916
071,6725
072,7598
073,8446
074,9205
075,10453
076,11487
077,12322
078,13430
079,14352
080,15722
081,17615
082,18539
083,20080
084,21370
085,23077
086,24530
087,26283
088,27890
089,29451
090,31324
091,33062
092,34863
093,37257
094,39699
095,42505
096,46437
097,49400
098,52987
099,56351
100,59695
101,62808
102,67161
103,70768
104,74292
105,78055
106,81997
107,85784
108,90648
109,95698
110,100328
111,106475
112,112028
113,118226
114,124794
115,131423
116,138536
117,144950
118,150793
119,158086
120,165386
121,173491
122,181827
123,190609
124,198370
125,207191
126,216824
127,226713
128,236184
129,246622
130,257486
131,265928
132,276146
133,286605
134,297535
135,308993
136,320922
137,332424
138,343091
139,354065
140,366946
141,380532
142,395048
143,410451
144,425282
145,440215
146,456183
147,473105
148,490401
149,508953
150,528859
151,548318
152,566840
153,585481
