Ai_Data:153,1,0,1,-1,N,V
Days,y
000,0
001,2
002,2
003,2
004,2
005,2
006,2
007,2
008,3
009,3
010,3
011,3
012,3
013,3
014,3
015,3
016,3
017,3
018,3
019,3
020,3
021,3
022,20
023,62
024,155
025,229
026,322
027,453
028,655
029,888
030,1128
031,1694
032,2036
033,2502
034,3089
035,3858
036,4636
037,5883
038,7375
039,9172
040,10149
041,12462
042,15113
043,17660
044,21157
045,24747
046,27980
047,31506
048,35713
049,41035
050,47021
051,53578
052,59138
053,63927
054,69176
055,74386
056,80589
057,86498
058,92472
059,97689
060,101739
061,105792
062,110574
063,115242
064,119827
065,124632
066,128948
067,132547
068,135586
069,139422
070,143626
071,147577
072,152271
073,156363
074,159516
075,162488
076,165155
077,168941
078,172434
079,175925
080,178972
081,181228
082,183957
083,187327
084,189973
085,192994
086,195351
087,197675
088,199414
089,201505
090,203591
091,205463
092,207428
093,209328
094,210717
095,211938
096,213013
097,214457
098,215858
099,217185
100,218268
101,219070
102,219814
103,221216
104,222104
105,223096
106,223885
107,224760
108,225435
109,225886
110,226699
111,227364
112,228006
113,228658
114,229327
115,229858
116,230158
117,230555
118,231139
119,231732
120,232248
121,232664
122,232997
123,233197
124,233515
125,233836
126,234013
127,234531
128,234801
129,234998
130,235278
131,235561
132,235763
133,236142
134,236305
135,236651
136,236989
137,237290
138,237500
139,237828
140,238159
141,238011
142,238275
143,238499
144,238720
145,238833
146,239410
147,239706
148,239961
149,240136
150,240310
151,240436
152,240578
