Ai_Data:153,1,0,1,-1,N,V
Days,y
000,0
001,2
002,2
003,2
004,2
005,2
006,2
007,2
008,2
009,2
010,2
011,2
012,2
013,2
014,2
015,2
016,2
017,2
018,2
019,2
020,2
021,2
022,2
023,2
024,2
025,2
026,2
027,2
028,2
029,2
030,2
031,2
032,3
033,3
034,3
035,4
036,13
037,13
038,17
039,17
040,20
041,20
042,28
043,45
044,59
045,63
046,90
047,114
048,147
049,199
050,253
051,306
052,367
053,438
054,495
055,658
056,840
057,1036
058,1264
059,1534
060,1836
061,2337
062,2777
063,3548
064,4149
065,4731
066,5389
067,6343
068,7497
069,8672
070,10131
071,11917
072,13584
073,15770
074,18328
075,21102
076,24490
077,27938
078,32008
079,36793
080,42853
081,47121
082,52763
083,57999
084,62773
085,68622
086,74588
087,80949
088,87147
089,93558
090,99399
091,106498
092,114431
093,124054
094,134687
095,145268
096,155370
097,165929
098,177160
099,187859
100,198676
101,209688
102,221344
103,232243
104,242271
105,252245
106,262843
107,272043
108,281752
109,290678
110,299941
111,308705
112,317554
113,326448
114,335882
115,344481
116,353427
117,362342
118,370680
119,379051
120,387623
121,396575
122,405843
123,414328
124,423186
125,431715
126,440538
127,449256
128,458102
129,467073
130,476043
131,484630
132,493023
133,501800
134,510761
135,519458
136,528267
137,536484
138,544725
139,552549
140,560321
141,568292
142,576162
143,583879
144,591465
145,598878
146,606043
147,613148
148,619936
149,626779
150,633563
151,640246
152,646929
