Ai_Data:123,1,0,1,-1,N2
Days,y
000,0
001,2
002,2
003,2
004,8
005,8
006,9
007,9
008,9
009,13
010,14
011,14
012,15
013,16
014,17
015,18
016,18
017,18
018,19
019,19
020,20
021,22
022,23
023,23
024,28
025,30
026,34
027,37
028,44
029,56
030,61
031,94
032,134
033,189
034,245
035,294
036,373
037,428
038,482
039,629
040,887
041,1298
042,1787
043,2266
044,2630
045,3072
046,3684
047,4452
048,5451
049,6506
050,7760
051,8957
052,10333
053,12668
054,15039
055,17732
056,20816
057,24017
058,26839
059,29696
060,33969
061,38484
062,43398
063,48263
064,53178
065,57198
066,60792
067,66067
068,71517
069,76646
070,81498
071,85813
072,89390
073,92885
074,97068
075,101393
076,106458
077,111756
078,116721
079,121437
080,125289
081,130147
082,134907
083,140397
084,145540
085,150513
086,154261
087,157729
088,162431
089,167152
090,172587
091,177543
092,182270
093,185491
094,188465
095,191843
096,195527
097,199358
098,203125
099,206174
100,208324
101,210645
102,214228
103,217617
104,220915
105,223524
106,226041
107,228106
108,229932
109,232506
110,235547
111,238253
112,240795
113,242825
114,244332
115,245680
116,247287
117,248937
118,250739
119,252473
120,253977
121,255076
122,256145
