Ai_Data:132,1,0,1,-1,N2
Days,y
000,0
001,1
002,1
003,2
004,2
005,5
006,5
007,5
008,6
009,6
010,8
011,8
012,8
013,11
014,11
015,11
016,12
017,12
018,12
019,12
020,12
021,13
022,13
023,14
024,14
025,14
026,14
027,14
028,14
029,14
030,14
031,16
032,16
033,16
034,16
035,16
036,16
037,17
038,17
039,25
040,32
041,55
042,74
043,107
044,184
045,237
046,403
047,519
048,594
049,782
050,1147
051,1586
052,2219
053,2978
054,3212
055,4679
056,6512
057,9169
058,13663
059,20030
060,26025
061,34898
062,46136
063,56755
064,68837
065,86693
066,105383
067,125013
068,143912
069,165987
070,192301
071,224560
072,256792
073,289087
074,321477
075,351354
076,382747
077,413516
078,444731
079,480667
080,515081
081,544183
082,571440
083,598380
084,627205
085,652611
086,682626
087,715656
088,743588
089,769684
090,799512
091,825429
092,854288
093,887858
094,920185
095,950581
096,977082
097,1000785
098,1025362
099,1051800
100,1081020
101,1115946
102,1143296
103,1167593
104,1191678
105,1216209
106,1240769
107,1268180
108,1295019
109,1320155
110,1339022
111,1358293
112,1381241
113,1401649
114,1428467
115,1453214
116,1477373
117,1495736
118,1518126
119,1539133
120,1561830
121,1587596
122,1611253
123,1632364
124,1652431
125,1671104
126,1690754
127,1709303
128,1731625
129,1756098
130,1779731
131,1798718
